cpu
Start!
Episode: 770000,  Step: 62150946, Episode_step: 59,  Reward_p1: 0.94, Reward_p2: 0.94, Reward_p3: 0.96, Reward_e: -1.04
Episode: 780000,  Step: 62906155, Episode_step: 36,  Reward_p1: 0.97, Reward_p2: 0.98, Reward_p3: 0.97, Reward_e: -1.03
Episode: 790000,  Step: 63651977, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 800000,  Step: 64399307, Episode_step: 53,  Reward_p1: 0.96, Reward_p2: 0.99, Reward_p3: 0.95, Reward_e: -1.05
Episode: 810000,  Step: 65148657, Episode_step: 98,  Reward_p1: -0.09, Reward_p2: -0.08, Reward_p3: -0.1, Reward_e: -1.08
Episode: 820000,  Step: 65925917, Episode_step: 227,  Reward_p1: 0.79, Reward_p2: 0.78, Reward_p3: 0.78, Reward_e: -1.22
Episode: 830000,  Step: 66715474, Episode_step: 61,  Reward_p1: 0.94, Reward_p2: 0.98, Reward_p3: 0.94, Reward_e: -1.06
Episode: 840000,  Step: 67486418, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 850000,  Step: 68227644, Episode_step: 30,  Reward_p1: -0.03, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.02
Episode: 860000,  Step: 68964222, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 870000,  Step: 69633810, Episode_step: 87,  Reward_p1: 0.91, Reward_p2: 0.94, Reward_p3: 0.92, Reward_e: -1.08
Episode: 880000,  Step: 70330909, Episode_step: 165,  Reward_p1: 0.84, Reward_p2: 0.88, Reward_p3: 0.84, Reward_e: -1.15
Episode: 890000,  Step: 71030735, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.0
Episode: 900000,  Step: 71739863, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.0
Episode: 910000,  Step: 72443910, Episode_step: 68,  Reward_p1: 0.94, Reward_p2: 0.93, Reward_p3: 0.93, Reward_e: -1.06
Episode: 920000,  Step: 73142796, Episode_step: 42,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.03
Episode: 930000,  Step: 73899915, Episode_step: 73,  Reward_p1: 0.93, Reward_p2: 0.96, Reward_p3: 0.93, Reward_e: -1.06
Episode: 940000,  Step: 74638057, Episode_step: 78,  Reward_p1: 0.93, Reward_p2: 0.92, Reward_p3: 0.92, Reward_e: -1.06
Episode: 950000,  Step: 75417548, Episode_step: 41,  Reward_p1: 0.96, Reward_p2: 0.98, Reward_p3: 0.96, Reward_e: -1.03
Episode: 960000,  Step: 76153770, Episode_step: 54,  Reward_p1: 0.95, Reward_p2: 0.98, Reward_p3: 0.95, Reward_e: -1.05
Episode: 970000,  Step: 76850233, Episode_step: 58,  Reward_p1: 0.94, Reward_p2: 0.95, Reward_p3: 0.94, Reward_e: -1.05
Episode: 980000,  Step: 77582025, Episode_step: 22,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.02
Episode: 990000,  Step: 78328925, Episode_step: 14,  Reward_p1: 1.0, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 1000000,  Step: 79107773, Episode_step: 76,  Reward_p1: 0.93, Reward_p2: 0.93, Reward_p3: 0.93, Reward_e: -1.07
Finish! 315.95 [h]
