cpu
Start!
Episode: 630000,  Step: 5972799, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 640000,  Step: 6068645, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 650000,  Step: 6165067, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 660000,  Step: 6261474, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 670000,  Step: 6356818, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 680000,  Step: 6453698, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 690000,  Step: 6549427, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 700000,  Step: 6647399, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 710000,  Step: 6743365, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 720000,  Step: 6839157, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 730000,  Step: 6934684, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 740000,  Step: 7029460, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 750000,  Step: 7127693, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 760000,  Step: 7223522, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 770000,  Step: 7319934, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 780000,  Step: 7418131, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 790000,  Step: 7513083, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 800000,  Step: 7608225, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 810000,  Step: 7703463, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 820000,  Step: 7800238, Episode_step: 17,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.01
Episode: 830000,  Step: 7896167, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 840000,  Step: 7992194, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: 1, Reward_p3: 1.0, Reward_e: -1.0
Episode: 850000,  Step: 8088659, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 860000,  Step: 8185922, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 870000,  Step: 8281104, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 880000,  Step: 8377620, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 890000,  Step: 8472772, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 900000,  Step: 8568972, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 910000,  Step: 8664618, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
