cpu
Start!
Episode: 830000,  Step: 5953202, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 840000,  Step: 6023226, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 850000,  Step: 6092486, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 0, Reward_p3: -0.01, Reward_e: -1.0
Episode: 860000,  Step: 6162127, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 870000,  Step: 6231389, Episode_step: 4,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 880000,  Step: 6299988, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 890000,  Step: 6369151, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 900000,  Step: 6438208, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 910000,  Step: 6507220, Episode_step: 8,  Reward_p1: -0.0, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 920000,  Step: 6576265, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 930000,  Step: 6644941, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 940000,  Step: 6713253, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 950000,  Step: 6782476, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -1.01, Reward_e: -1.01
Episode: 960000,  Step: 6851834, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 970000,  Step: 6921162, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 980000,  Step: 6989969, Episode_step: 8,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 990000,  Step: 7058652, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 1000000,  Step: 7127128, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.0
Finish! 28.56 [h]
