cpu
Start!
Episode: 800000,  Step: 10213041, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 810000,  Step: 10347393, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 820000,  Step: 10479724, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 830000,  Step: 10609646, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 840000,  Step: 10744084, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: 1, Reward_p3: 1.0, Reward_e: -1.0
Episode: 850000,  Step: 10878334, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 860000,  Step: 11012533, Episode_step: 19,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 870000,  Step: 11140903, Episode_step: 28,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.97, Reward_e: -1.03
Episode: 880000,  Step: 11269954, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 890000,  Step: 11401193, Episode_step: 46,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.04
Episode: 900000,  Step: 11537175, Episode_step: 28,  Reward_p1: 0.97, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.02
Episode: 910000,  Step: 11670112, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.02
Episode: 920000,  Step: 11801920, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 930000,  Step: 11934718, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 940000,  Step: 12066682, Episode_step: 27,  Reward_p1: 0.98, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.02
Episode: 950000,  Step: 12194812, Episode_step: 17,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.01
Episode: 960000,  Step: 12325566, Episode_step: 21,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 970000,  Step: 12454515, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.02
Episode: 980000,  Step: 12585214, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.02
Episode: 990000,  Step: 12717696, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 1000000,  Step: 12848365, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Finish! 50.14 [h]
