cpu
Start!
Episode: 580000,  Step: 5435267, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -1.02, Reward_p3: -0.01, Reward_e: -0.02
Episode: 590000,  Step: 5527341, Episode_step: 20,  Reward_p1: -1.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -0.02
Episode: 600000,  Step: 5619137, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 610000,  Step: 5710580, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 620000,  Step: 5801772, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 630000,  Step: 5893442, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 640000,  Step: 5984394, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 650000,  Step: 6075588, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 660000,  Step: 6167114, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 670000,  Step: 6258592, Episode_step: 6,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.01, Reward_e: -1.0
Episode: 680000,  Step: 6350138, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.01, Reward_e: -1.01
Episode: 690000,  Step: 6442094, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 700000,  Step: 6533043, Episode_step: 16,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 710000,  Step: 6625843, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.0, Reward_e: -1.01
Episode: 720000,  Step: 6717910, Episode_step: 17,  Reward_p1: -0.02, Reward_p2: 0.99, Reward_p3: -0.02, Reward_e: -1.01
Episode: 730000,  Step: 6809935, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
