option = share
required = 2.4
cpu
Start!
Episode: 910000,  Step: 55669303, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 920000,  Step: 56168203, Episode_step: 8,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 930000,  Step: 56691933, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 940000,  Step: 57201061, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 950000,  Step: 57726646, Episode_step: 72,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 960000,  Step: 58256750, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 970000,  Step: 58763371, Episode_step: 159,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 980000,  Step: 59276154, Episode_step: 62,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 990000,  Step: 59769308, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 1000000,  Step: 60268191, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Finish! 171.07 [h]
