cpu
Start!
Episode: 630000,  Step: 7796668, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: -0.014000000000000005, Reward_e: -1.014
Episode: 640000,  Step: 7912512, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: -0.013000000000000005, Reward_e: -1.011
Episode: 650000,  Step: 8029632, Episode_step: 9,  Reward_p1: -0.007, Reward_p2: 0.993, Reward_e: -1.007
Episode: 660000,  Step: 8147412, Episode_step: 30,  Reward_p1: -0.024000000000000014, Reward_p2: 0.972, Reward_e: -1.028
Episode: 670000,  Step: 8262934, Episode_step: 19,  Reward_p1: 0.983, Reward_p2: -0.015000000000000006, Reward_e: -1.017
Episode: 680000,  Step: 8378582, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 690000,  Step: 8493256, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: -0.010000000000000002, Reward_e: -1.009
Episode: 700000,  Step: 8607759, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 8723051, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: -1.014, Reward_e: -0.015000000000000006
Episode: 720000,  Step: 8839792, Episode_step: 10,  Reward_p1: 0.992, Reward_p2: -0.009000000000000001, Reward_e: -1.008
Episode: 730000,  Step: 8954859, Episode_step: 8,  Reward_p1: -0.007, Reward_p2: 0.994, Reward_e: -1.006
Episode: 740000,  Step: 9070179, Episode_step: 3,  Reward_p1: -0.002, Reward_p2: 0.999, Reward_e: -1.001
Episode: 750000,  Step: 9184851, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 760000,  Step: 9300456, Episode_step: 31,  Reward_p1: -0.02900000000000002, Reward_p2: 0.984, Reward_e: -1.028
Episode: 770000,  Step: 9413888, Episode_step: 10,  Reward_p1: 0.992, Reward_p2: -0.009000000000000001, Reward_e: -1.008
Episode: 780000,  Step: 9528984, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 790000,  Step: 9642995, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 800000,  Step: 9757660, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: 0.988, Reward_e: -1.012
Episode: 810000,  Step: 9872779, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.010000000000000002, Reward_e: -1.012
Episode: 820000,  Step: 9987622, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: 0.99, Reward_e: -1.012
Episode: 830000,  Step: 10102553, Episode_step: 9,  Reward_p1: -0.008, Reward_p2: 0.993, Reward_e: -1.007
Episode: 840000,  Step: 10215982, Episode_step: 7,  Reward_p1: -0.005, Reward_p2: 0.995, Reward_e: -1.005
Episode: 850000,  Step: 10331598, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.010000000000000002, Reward_e: -1.01
Episode: 860000,  Step: 10446413, Episode_step: 8,  Reward_p1: 0.994, Reward_p2: 0.994, Reward_e: -1.006
Episode: 870000,  Step: 10562191, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 880000,  Step: 10677670, Episode_step: 12,  Reward_p1: -0.010000000000000002, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 890000,  Step: 10792511, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.013
Episode: 900000,  Step: 10907776, Episode_step: 11,  Reward_p1: -0.010000000000000002, Reward_p2: 0.991, Reward_e: -1.009
Episode: 910000,  Step: 11022469, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: 0.99, Reward_e: -1.009
Episode: 920000,  Step: 11137784, Episode_step: 18,  Reward_p1: 0.985, Reward_p2: -0.017000000000000008, Reward_e: -1.016
Episode: 930000,  Step: 11253338, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 940000,  Step: 11366766, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 950000,  Step: 11479987, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: -0.015000000000000006, Reward_e: -1.014
Episode: 960000,  Step: 11595196, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.004, Reward_e: -1.004
Episode: 970000,  Step: 11710692, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: -0.008, Reward_e: -1.007
Episode: 980000,  Step: 11825513, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 990000,  Step: 11941230, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.013
Episode: 1000000,  Step: 12056554, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Finish! 35.55 [h]
